ExpID;MeasureDate;PlantID;VarietyID;LightID;NitrogenID;LeafNo;EA_degree;LA_cm2
GH1;10.05.2017;208;A;L;L;18;-57.91495265;572.5200366
GH1;10.05.2017;208;A;L;L;19;-57.737253;738.4107536
GH1;10.05.2017;208;A;L;L;20;-62.85578861;613.7381532
GH1;10.05.2017;208;A;L;L;21;-45.7708978;668.4844432
GH1;10.05.2017;208;A;L;L;22;-71.15629694;597.4987286
GH1;10.05.2017;208;A;L;L;23;-20.83960689;547.9014457
GH1;10.05.2017;225;A;H;H;2;16.31998929;799.7723497
GH1;10.05.2017;225;A;H;H;3;-25.36383328;639.9654753
GH1;10.05.2017;225;A;H;H;4;-56.41301499;672.5577801
GH1;10.05.2017;225;A;H;H;5;-5.312224004;1279.713716
GH1;10.05.2017;225;A;H;H;6;-47.30873982;766.3835637
GH1;10.05.2017;225;A;H;H;7;-65.07355093;1359.29638
GH1;10.05.2017;225;A;H;H;8;-58.89000396;1181.346766
GH1;10.05.2017;225;A;H;H;9;-70.76171767;949.4238058
GH1;10.05.2017;225;A;H;H;10;-72.61976166;1206.854021
GH1;10.05.2017;225;A;H;H;11;-82.12098541;909.7234781
GH1;10.05.2017;225;A;H;H;12;-75.16466574;744.136817
GH1;10.05.2017;225;A;H;H;13;-88.2159738;724.1398445
GH1;10.05.2017;225;A;H;H;14;-66.63239244;753.6400896
GH1;10.05.2017;225;A;H;H;15;-78.95799385;523.3302616
GH1;10.05.2017;225;A;H;H;16;-82.28619411;604.6632845
GH1;10.05.2017;225;A;H;H;17;-69.55596435;791.5010325
GH1;10.05.2017;225;A;H;H;18;-65.30683693;793.138225
GH1;10.05.2017;225;A;H;H;19;-54.0188318;764.8601656
GH1;10.05.2017;225;A;H;H;20;-31.13542984;625.4559484
GH1;10.05.2017;225;A;H;H;21;-43.21982342;587.5486278
GH1;10.05.2017;225;A;H;H;22;-33.17069118;530.821767
GH1;10.05.2017;225;A;H;H;23;-56.37797117;544.7797431
GH1;10.05.2017;225;A;H;H;24;-52.92402305;484.3453177
GH1;10.05.2017;225;A;H;H;25;-42.2090329;407.4023367
GH1;10.05.2017;225;A;H;H;26;-64.27778394;375.5898833
GH1;10.05.2017;225;A;H;H;27;-36.83871005;129.5632842
GH1;10.05.2017;225;A;H;H;28;-37.17284359;58.73757413
GH1;10.05.2017;227;A;H;H;1;-9.680721316;232.7279994
GH1;10.05.2017;227;A;H;H;3;-25.05229697;834.7254707
